Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of the Search Path,Execution Time (in seconds)
15,GBFS,h1,0,3216,10.9782
15,GBFS,h2,0,3216,10.9564
15,GBFS,h3,0,3216,10.9895
15,GBFS,h4,21,1157,3.8447
15,GBFS,h5,0,3216,11.1579
15,Algorithm A,h1,9,716,1.9873
15,Algorithm A,h2,9,716,1.9337
15,Algorithm A,h3,0,3216,12.053
15,Algorithm A,h4,11,1993,7.3906
15,Algorithm A,h5,0,3216,12.7829
16,UCS,N/A,28,8913,41.5651
16,GBFS,h1,45,5228,21.6533
16,GBFS,h2,45,5228,21.7734
16,GBFS,h3,45,5228,21.7253
16,GBFS,h4,0,738,1.9174
16,GBFS,h5,45,5228,21.7578
16,Algorithm A,h1,28,6990,30.3188
16,Algorithm A,h2,28,6990,30.1871
16,Algorithm A,h3,40,7854,36.6002
16,Algorithm A,h4,30,9837,47.8904
16,Algorithm A,h5,0,7965,36.5392
17,UCS,N/A,7,327,0.8322
17,GBFS,h1,21,372,0.9475
17,GBFS,h2,21,372,1.2217
17,GBFS,h3,21,372,0.9475
17,GBFS,h4,19,283,0.7198
17,GBFS,h5,21,372,0.9811
17,Algorithm A,h1,7,148,0.3769
17,Algorithm A,h2,7,148,0.4084
17,Algorithm A,h3,16,452,1.2406
17,Algorithm A,h4,10,593,1.6935
17,Algorithm A,h5,0,474,1.3096
18,UCS,N/A,20,8012,33.4442
18,GBFS,h1,0,3203,11.2347
18,GBFS,h2,0,3203,11.4633
18,GBFS,h3,0,3203,1034.4751
18,GBFS,h4,49,6861,25.9717
18,GBFS,h5,0,3203,11.2242
18,Algorithm A,h1,20,7184,1027.4772
18,Algorithm A,h2,20,7184,30.0474
18,Algorithm A,h3,0,5821,1011.4105
18,Algorithm A,h4,22,8721,905.0446
18,Algorithm A,h5,0,5757,22.7972
19,UCS,N/A,4,344,0.9752
19,GBFS,h1,6,52,0.1468
19,GBFS,h2,6,52,0.3499
19,GBFS,h3,6,52,0.1459
19,GBFS,h4,0,530,1.4825
19,GBFS,h5,6,52,0.1551
19,Algorithm A,h1,4,69,0.2033
19,Algorithm A,h2,4,69,0.2018
19,Algorithm A,h3,5,30,0.0876
19,Algorithm A,h4,6,317,0.9066
19,Algorithm A,h5,5,65,0.1919
20,UCS,N/A,7,1254,5.2914
20,GBFS,h1,0,1880,7.0909
20,GBFS,h2,0,1880,7.1269
20,GBFS,h3,0,1880,7.1771
20,GBFS,h4,25,1325,5.1783
20,GBFS,h5,0,1880,7.0944
20,Algorithm A,h1,7,291,0.8462
20,Algorithm A,h2,7,291,0.8421
20,Algorithm A,h3,0,1880,7.7611
20,Algorithm A,h4,10,1793,7.6142
20,Algorithm A,h5,0,1880,8.3159
21,UCS,N/A,9,150,0.3068
21,GBFS,h1,12,25,0.0523
21,GBFS,h2,12,25,0.0506
21,GBFS,h3,12,25,0.0516
21,GBFS,h4,0,74,0.1428
21,GBFS,h5,12,25,0.0508
21,Algorithm A,h1,9,138,0.2968
21,Algorithm A,h2,9,138,0.2898
21,Algorithm A,h3,9,40,0.0759
21,Algorithm A,h4,11,235,0.5895
21,Algorithm A,h5,9,81,0.1646
22,UCS,N/A,17,4116,17.0765
22,GBFS,h1,0,4790,22.5171
22,GBFS,h2,0,4790,22.557
22,GBFS,h3,0,4790,22.5165
22,GBFS,h4,0,5458,23.7685
